item_id,board_id,item_name,status,created_at,updated_at
ITM000361,BRD0013,Update facility documentation,Stuck,2026-05-31,2026-07-31
ITM000362,BRD0013,Schedule device inspection,Done,2025-05-04,2025-07-04
ITM000363,BRD0004,Follow up with region,Working on it,2025-10-10,2025-12-29
ITM000364,BRD0009,Follow up with region,Done,2026-05-28,2026-08-01
ITM000365,BRD0003,Follow up with shipment,Done,2024-03-15,2024-05-26
ITM000366,BRD0003,Schedule contract inspection,Done,2025-01-05,2025-05-05
ITM000367,BRD0004,Approve contract request,Working on it,2025-03-18,2025-03-23
ITM000368,BRD0014,Escalate contract issue,Working on it,2025-11-18,2026-02-18
ITM000369,BRD0015,Escalate contract issue,Working on it,2026-05-06,2026-08-24
ITM000370,BRD0004,Update shipment documentation,Done,2026-03-20,2026-05-24
ITM000371,BRD0015,Close out region task,Working on it,2025-06-17,2025-07-23
ITM000372,BRD0008,Follow up with contract,Done,2025-03-03,2025-03-11
ITM000373,BRD0009,Follow up with region,Done,2024-02-10,2024-03-28
ITM000374,BRD0005,Close out batch task,Done,2026-04-06,2026-08-01
ITM000375,BRD0006,Approve audit request,Done,2024-11-11,2025-02-28
ITM000376,BRD0008,Coordinate contract shipment,Done,2026-05-09,2026-08-05
ITM000377,BRD0010,Update shipment documentation,Working on it,2025-12-09,2026-02-09
ITM000378,BRD0006,Follow up with batch,Done,2024-10-04,2025-01-23
ITM000379,BRD0005,Schedule facility inspection,Stuck,2024-11-27,2025-03-23
ITM000380,BRD0004,Schedule facility inspection,Stuck,2024-07-15,2024-10-28
ITM000381,BRD0006,Close out batch task,Working on it,2025-03-10,2025-06-03
ITM000382,BRD0011,Schedule device fleet inspection,Stuck,2024-05-22,2024-09-01
ITM000383,BRD0013,Approve device request,Done,2025-01-05,2025-04-06
ITM000384,BRD0009,Escalate device issue,Done,2025-08-18,2025-10-23
ITM000385,BRD0003,Follow up with batch,Done,2024-07-29,2024-10-13
ITM000386,BRD0013,Escalate region issue,Stuck,2026-04-09,2026-06-11
ITM000387,BRD0006,Schedule contract inspection,Done,2024-10-04,2025-01-31
ITM000388,BRD0010,Coordinate audit shipment,Working on it,2024-09-17,2024-12-03
ITM000389,BRD0002,Approve site request,Stuck,2026-04-12,2026-06-21
ITM000390,BRD0007,Review site submission,Working on it,2024-09-17,2025-01-13
ITM000391,BRD0008,Coordinate audit shipment,Done,2024-10-10,2024-12-14
ITM000392,BRD0010,Close out device task,Working on it,2025-03-13,2025-06-01
ITM000393,BRD0008,Follow up with shipment,Working on it,2024-11-16,2024-12-01
ITM000394,BRD0003,Update site documentation,Working on it,2026-03-31,2026-04-06
ITM000395,BRD0001,Follow up with batch,Working on it,2025-07-02,2025-08-05
ITM000396,BRD0003,Follow up with contract,Working on it,2026-07-01,2026-09-23
ITM000397,BRD0010,Review vendor submission,Working on it,2025-10-01,2026-01-01
ITM000398,BRD0005,Approve contract request,Working on it,2024-08-13,2024-10-31
ITM000399,BRD0010,Approve audit request,Working on it,2024-08-30,2024-09-18
ITM000400,BRD0001,Escalate device issue,Working on it,2026-04-24,2026-06-12
